ID Institution,Institution,ID Stage 1a,Stage 1a,ID Stage 1b,Stage 1b,ID Stage 2,Stage 2,Avg efectiveness,Avg overcoming,Avg initiative,Avg integration,Avg improvement,Avg fairness,Avg sned_score
25895,COLEGIO SANTIAGO DE PUDAHUEL,1,Urbana,2,Media urbana (con o sin básica),32,Media urbana (con o sin básica) grupo 2,67.13836669921875,48.3896484375,77.3499984741211,55.75,92.59259033203125,95.52092742919922,68.68524932861328
25897,ESCUELA PART. INSTITUTO S.A,1,Urbana,1,Básica urbana,13,Básica urbana grupo 3,42.802215576171875,45.230552673339844,65.08000183105469,82.33333587646484,74.0740737915039,95.52092742919922,59.01892852783203
25899,COLEG. POLIV. NUEVO CENTRO EDUC. JOSE ABELA,1,Urbana,2,Media urbana (con o sin básica),33,Media urbana (con o sin básica) grupo 3,55.34037780761719,45.60344314575195,84.16999816894531,47.75,92.59259033203125,96.99303436279297,63.8729248046875
25900,ESC. ESP. VOCARE,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,82.5625,47.75,92.59259033203125,96.54935455322266,86.95417022705078
25901,ESC. EVANG. PENTECOSTAL DR. WILLIS C. HOOVER,1,Urbana,1,Básica urbana,12,Básica urbana grupo 2,65.10780334472656,48.42274475097656,85.25,73.25,92.59259033203125,95.52092742919922,69.2922134399414
25902,ESC. DE PARV. Y ESP. RAHUE,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,78.8125,71.875,100.0,98.09200286865234,91.15068817138672
25903,ESCUELA ESP. MI ESPACIO,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,0.0,0.0,92.59259033203125,95.52092742919922,65.33273315429688
25904,ESCUELA ESP. PART. VALLE DEL SOL,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,75.8125,45.5,74.0740737915039,96.54935455322266,84.41739654541016
25905,ESCUELA DE PARVULOS TRENCITO FELIZ,1,Urbana,1,Básica urbana,12,Básica urbana grupo 2,60.50236892700195,47.2756462097168,0.0,0.0,92.59259033203125,95.52092742919922,58.4895133972168
25906,ESCUELA ESP. PARTICULAR OSCAR CASTRO,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,0.0,0.0,92.59259033203125,95.52092742919922,65.33273315429688
25907,ESCUELA ESP. PART. SAN JOSE DE SAN BERNARDO,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,72.875,50.375,100.0,98.09200286865234,87.0614013671875
25909,ESCUELA ESPECIAL ARCOIRIS,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,94.5,98.125,100.0,96.54935455322266,96.62030792236328
25912,ESCUELA ESP. PART. SAN JORGE DE QUINTA NORMAL,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,97.625,95.0,100.0,96.54935455322266,96.7095947265625
25913,ESCUELA ESP. PART. CHARLES DE GAULLE,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,97.25,100.0,92.59259033203125,98.09200286865234,97.90597534179688
25914,ESCUELA DE PARV. PART. SAN JORGE DE COLINA,1,Urbana,1,Básica urbana,13,Básica urbana grupo 3,65.46390533447266,40.81553649902344,96.25,75.25,100.0,97.12178802490234,68.55429077148438
